[I 2025-12-04 21:01:30,427] Trial 75 finished with value: 93.79038659190559 and parameters: {'n_estimators': 85, 'learning_rate': 0.0011238037829751004, 'num_leaves': 25, 'max_depth': 12, 'colsample_bytree': 0.6838352595715634, 'subsample': 0.7835047821082823, 'reg_alpha': 1.2822431806677623, 'reg_lambda': 17.82787863451696, 'min_child_samples': 18}. Best is trial 75 with value: 93.79038659190559.
[I 2025-12-04 21:01:30,471] Trial 76 finished with value: 93.86298038341413 and parameters: {'n_estimators': 89, 'learning_rate': 0.0010086378070981378, 'num_leaves': 27, 'max_depth': 12, 'colsample_bytree': 0.6699093390220513, 'subsample': 0.7226959644045101, 'reg_alpha': 1.8280525611596348, 'reg_lambda': 17.803019029883913, 'min_child_samples': 20}. Best is trial 75 with value: 93.79038659190559.
[I 2025-12-04 21:01:30,522] Trial 77 finished with value: 94.05506225526504 and parameters: {'n_estimators': 140, 'learning_rate': 0.0011732292023020857, 'num_leaves': 23, 'max_depth': 12, 'colsample_bytree': 0.6821609711615793, 'subsample': 0.8058078128885972, 'reg_alpha': 2.364035273972626, 'reg_lambda': 25.25025969524435, 'min_child_samples': 26}. Best is trial 75 with value: 93.79038659190559.
[I 2025-12-04 21:01:30,582] Trial 78 finished with value: 94.49784165610285 and parameters: {'n_estimators': 171, 'learning_rate': 0.0014994287206532386, 'num_leaves': 12, 'max_depth': 14, 'colsample_bytree': 0.6556187583689084, 'subsample': 0.7622671305858012, 'reg_alpha': 1.340385640001805, 'reg_lambda': 11.326351264739849, 'min_child_samples': 18}. Best is trial 75 with value: 93.79038659190559.
[I 2025-12-04 21:01:30,644] Trial 79 finished with value: 94.14699911737593 and parameters: {'n_estimators': 106, 'learning_rate': 0.0019081963411528662, 'num_leaves': 15, 'max_depth': 13, 'colsample_bytree': 0.6609694276416371, 'subsample': 0.7988080590892452, 'reg_alpha': 2.90765507830461, 'reg_lambda': 15.712426525334589, 'min_child_samples': 19}. Best is trial 75 with value: 93.79038659190559.
    - Best RMSE: 93.7904
  - GM Stratum Mid_10_15: 92 samples.
[I 2025-12-04 21:01:30,690] A new study created in memory with name: no-name-9f4c2cec-7b8a-4fcc-b07a-d7029687a41a
[I 2025-12-04 21:01:30,738] Trial 0 finished with value: 107.52155266909585 and parameters: {'n_estimators': 242, 'learning_rate': 0.05515231983743817, 'num_leaves': 37, 'max_depth': 8, 'colsample_bytree': 0.7119547317955749, 'subsample': 0.6319679937944658, 'reg_alpha': 2.2490752546714283, 'reg_lambda': 9.54842015991734, 'min_child_samples': 9}. Best is trial 0 with value: 107.52155266909585.
[I 2025-12-04 21:01:30,763] Trial 1 finished with value: 93.51274984994917 and parameters: {'n_estimators': 310, 'learning_rate': 0.02385314392915205, 'num_leaves': 33, 'max_depth': 2, 'colsample_bytree': 0.8876917526836308, 'subsample': 0.6734873383254688, 'reg_alpha': 12.108126619493655, 'reg_lambda': 11.024142912135957, 'min_child_samples': 24}. Best is trial 1 with value: 93.51274984994917.
[I 2025-12-04 21:01:30,805] Trial 2 finished with value: 86.56759028677546 and parameters: {'n_estimators': 218, 'learning_rate': 0.0015698357053914771, 'num_leaves': 57, 'max_depth': 5, 'colsample_bytree': 0.7709905492695152, 'subsample': 0.5917311471760566, 'reg_alpha': 10.96122389459044, 'reg_lambda': 28.26626988734419, 'min_child_samples': 6}. Best is trial 2 with value: 86.56759028677546.
[I 2025-12-04 21:01:30,859] Trial 3 finished with value: 113.20072617114062 and parameters: {'n_estimators': 344, 'learning_rate': 0.06513995479727804, 'num_leaves': 44, 'max_depth': 10, 'colsample_bytree': 0.8472345003189006, 'subsample': 0.8361481852909989, 'reg_alpha': 12.101226678342718, 'reg_lambda': 1.012267417536102, 'min_child_samples': 8}. Best is trial 2 with value: 86.56759028677546.
[I 2025-12-04 21:01:30,877] Trial 4 finished with value: 85.67061969798984 and parameters: {'n_estimators': 176, 'learning_rate': 0.002112015783550662, 'num_leaves': 56, 'max_depth': 15, 'colsample_bytree': 0.6847521474143788, 'subsample': 0.7640053982461323, 'reg_alpha': 15.376867507280252, 'reg_lambda': 31.17250495226091, 'min_child_samples': 24}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:30,905] Trial 5 finished with value: 109.44685857351807 and parameters: {'n_estimators': 249, 'learning_rate': 0.09149188018608576, 'num_leaves': 67, 'max_depth': 5, 'colsample_bytree': 0.752996614093876, 'subsample': 0.6197425308361671, 'reg_alpha': 18.96986565343331, 'reg_lambda': 1.0035190897282737, 'min_child_samples': 17}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:30,930] Trial 6 finished with value: 87.90383685537381 and parameters: {'n_estimators': 319, 'learning_rate': 0.002775091208276325, 'num_leaves': 25, 'max_depth': 14, 'colsample_bytree': 0.7258461347090659, 'subsample': 0.6813471566215411, 'reg_alpha': 23.392996185204417, 'reg_lambda': 1.2733472441935072, 'min_child_samples': 27}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:30,941] Trial 7 finished with value: 85.9385436442611 and parameters: {'n_estimators': 64, 'learning_rate': 0.004601771993522837, 'num_leaves': 11, 'max_depth': 13, 'colsample_bytree': 0.6675437909555646, 'subsample': 0.7435959157766723, 'reg_alpha': 1.0185815018612052, 'reg_lambda': 1.279876007650922, 'min_child_samples': 29}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:30,967] Trial 8 finished with value: 90.20372895957912 and parameters: {'n_estimators': 104, 'learning_rate': 0.019271792937817, 'num_leaves': 28, 'max_depth': 13, 'colsample_bytree': 0.6138337689720392, 'subsample': 0.6066819250027013, 'reg_alpha': 37.232647837676936, 'reg_lambda': 7.451917911050485, 'min_child_samples': 11}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:31,058] Trial 9 finished with value: 93.97427623888723 and parameters: {'n_estimators': 507, 'learning_rate': 0.002995728391067589, 'num_leaves': 40, 'max_depth': 15, 'colsample_bytree': 0.730624055393474, 'subsample': 0.8663586866758446, 'reg_alpha': 19.26634188021705, 'reg_lambda': 4.163276473693418, 'min_child_samples': 5}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:31,129] Trial 10 finished with value: 86.0606856565877 and parameters: {'n_estimators': 599, 'learning_rate': 0.0011329949925626417, 'num_leaves': 53, 'max_depth': 10, 'colsample_bytree': 0.6019716013692198, 'subsample': 0.5011156736888338, 'reg_alpha': 4.099601281696593, 'reg_lambda': 38.716447348832986, 'min_child_samples': 21}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:31,154] Trial 11 finished with value: 86.11910107651362 and parameters: {'n_estimators': 74, 'learning_rate': 0.006506806271965922, 'num_leaves': 9, 'max_depth': 12, 'colsample_bytree': 0.6638637002445097, 'subsample': 0.7752177631108095, 'reg_alpha': 1.5240793007137707, 'reg_lambda': 2.6296212319154093, 'min_child_samples': 30}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:31,186] Trial 12 finished with value: 86.3576212210096 and parameters: {'n_estimators': 145, 'learning_rate': 0.006092164533610646, 'num_leaves': 9, 'max_depth': 15, 'colsample_bytree': 0.6680213188327873, 'subsample': 0.7561735486640788, 'reg_alpha': 4.38161535940604, 'reg_lambda': 17.852490077739027, 'min_child_samples': 30}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:31,215] Trial 13 finished with value: 85.69677622240948 and parameters: {'n_estimators': 52, 'learning_rate': 0.002982205220868532, 'num_leaves': 18, 'max_depth': 12, 'colsample_bytree': 0.6644480396016172, 'subsample': 0.7577291030513559, 'reg_alpha': 1.042291022544029, 'reg_lambda': 2.3440231643709075, 'min_child_samples': 20}. Best is trial 4 with value: 85.67061969798984.
[I 2025-12-04 21:01:31,257] Trial 14 finished with value: 85.66185669079125 and parameters: {'n_estimators': 143, 'learning_rate': 0.001989891794242705, 'num_leaves': 17, 'max_depth': 11, 'colsample_bytree': 0.7977302779263726, 'subsample': 0.807275346664704, 'reg_alpha': 7.4450324187605315, 'reg_lambda': 2.8239263175245894, 'min_child_samples': 16}. Best is trial 14 with value: 85.66185669079125.
[I 2025-12-04 21:01:31,301] Trial 15 finished with value: 85.75048240845638 and parameters: {'n_estimators': 170, 'learning_rate': 0.0010008477280549113, 'num_leaves': 54, 'max_depth': 8, 'colsample_bytree': 0.8169325113822086, 'subsample': 0.8063022601068109, 'reg_alpha': 7.054929564838623, 'reg_lambda': 4.39657006993235, 'min_child_samples': 13}. Best is trial 14 with value: 85.66185669079125.
[I 2025-12-04 21:01:31,377] Trial 16 finished with value: 94.36172222515306 and parameters: {'n_estimators': 391, 'learning_rate': 0.013907698566648615, 'num_leaves': 66, 'max_depth': 10, 'colsample_bytree': 0.8012497500813562, 'subsample': 0.8497238912054671, 'reg_alpha': 7.02238403762054, 'reg_lambda': 16.63950368943327, 'min_child_samples': 16}. Best is trial 14 with value: 85.66185669079125.
[I 2025-12-04 21:01:31,417] Trial 17 finished with value: 85.71432352021837 and parameters: {'n_estimators': 152, 'learning_rate': 0.0020116822888103037, 'num_leaves': 46, 'max_depth': 6, 'colsample_bytree': 0.7984632034618802, 'subsample': 0.8849671189118231, 'reg_alpha': 4.534665386692029, 'reg_lambda': 2.807729132075271, 'min_child_samples': 23}. Best is trial 14 with value: 85.66185669079125.
[I 2025-12-04 21:01:31,461] Trial 18 finished with value: 90.33362411430232 and parameters: {'n_estimators': 196, 'learning_rate': 0.008208038712632221, 'num_leaves': 18, 'max_depth': 11, 'colsample_bytree': 0.8588371684989426, 'subsample': 0.8077236609943188, 'reg_alpha': 37.45875754865832, 'reg_lambda': 4.615437542681873, 'min_child_samples': 13}. Best is trial 14 with value: 85.66185669079125.
[I 2025-12-04 21:01:31,505] Trial 19 finished with value: 86.19680282156283 and parameters: {'n_estimators': 440, 'learning_rate': 0.0017451592164643957, 'num_leaves': 60, 'max_depth': 14, 'colsample_bytree': 0.6893394888204124, 'subsample': 0.7083713184274114, 'reg_alpha': 9.136727339360226, 'reg_lambda': 16.620478743356614, 'min_child_samples': 25}. Best is trial 14 with value: 85.66185669079125.
[I 2025-12-04 21:01:31,549] Trial 20 finished with value: 87.39353397453486 and parameters: {'n_estimators': 285, 'learning_rate': 0.004436892867801732, 'num_leaves': 49, 'max_depth': 7, 'colsample_bytree': 0.778080186508377, 'subsample': 0.7190390642047473, 'reg_alpha': 2.6218961702026804, 'reg_lambda': 1.8963015163878776, 'min_child_samples': 20}. Best is trial 14 with value: 85.66185669079125.
